시리즈,자재코드,제품코드 (Deloitte 추가 분류),해석된 코드 의미,최종 Mapping,소재 Sanitized,용기/외용기 소재,주요 제품 여부_Lv0,주요 제품 여부_Lv1,주요 제품 여부_Lv2,장식,오버캡,외캡,캡,내캡,중캡,숄더,덮개,박킹/패킹,플러그,피스톤,받침,내용기,외용기,용기,펌프,펌프외캡,하캡,리필용기,상체,중체,하체,버튼,스포이드캡,유리관,고무,하버튼,솔대,용기커버,스크류/스크류받침,주걱,용량,크기,무게(g),,image_file
A,CSA130-S,CSA130-S,A시리즈(구형사각) / 130 / 스크류 캡,Gravity-fed Bottle,PMMA (아크릴),PMMA,,,,,,PMMA,,ABS,,ABS,,,,,,PETG,PMMA,,,,,,,,,,,,,,,,,,130,42x181,158.3,,product-images/CSA130-S.png
A,CSA130-Y,CSA130-Y,A시리즈(구형사각) / 130 / 초음파 캡(Y),Gravity-fed Bottle,PMMA (아크릴),PMMA,,,,,,ABS,,ABS,,ABS,,,,,,PETG,PMMA,,,,,,,,,,,,,,,,,,130,42x181,173.1,,product-images/CSA130-Y.png
A,CSA130-P,CSA130-P,A시리즈(구형사각) / 130 / 디스펜싱 펌프,Pump Bottle,PMMA (아크릴),PMMA,,,,,PETG,,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,130,42x195.8,162.8,,product-images/CSA130-P.png
A,CSA100-S,CSA100-S,A시리즈(구형사각) / 100 / 스크류 캡,Gravity-fed Bottle,PMMA (아크릴),PMMA,,,,,,PMMA,,ABS,,ABS,,LDPE,,,,PETG,PMMA,,,,,,,,,,,,,,,,,,100,38x162,123.6,,product-images/CSA100-S.png
A,CSA100-P,CSA100-P,A시리즈(구형사각) / 100 / 디스펜싱 펌프,Pump Bottle,PMMA (아크릴),PMMA,,,,,PETG,,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,100,38x180.7,119.9,,product-images/CSA100-P.png
A,CSA45-P,CSA45-P,A시리즈(구형사각) / 45 / 디스펜싱 펌프,Pump Bottle,PMMA (아크릴),PMMA,,,,,PETG,,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,45,33.5x153,76.2,,product-images/CSA45-P.png
A,CSA35-P,CSA35-P,A시리즈(구형사각) / 35 / 디스펜싱 펌프,Pump Bottle,PMMA (아크릴),PMMA,,,,,PETG,,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,35,33.5x122,65.9,,product-images/CSA35-P.png
A,CSA25-P,CSA25-P,A시리즈(구형사각) / 25 / 디스펜싱 펌프,Pump Bottle,PMMA (아크릴),PMMA,,,,,PETG,,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,25,33.5x103,54.8,,product-images/CSA25-P.png
A,CSA50-C,CSA50-C,A시리즈(구형사각) / 50 / 초음파 캡(C),Open Jar,PMMA (아크릴),PMMA,,,,,,PMMA,,ABS,,,LDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,69x50,151.6,,product-images/CSA50-C.png
A,CSA50-Y,CSA50-Y,A시리즈(구형사각) / 50 / 초음파 캡(Y),Open Jar,PMMA (아크릴),PMMA,주요 제품,주요 10개 제품코드,주요 10개 제품코드,,,PMMA,,ABS,,,LDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,68.5x46.5,138.5,,product-images/CSA50-Y.png
